folder,T_mean,B_mean,L_mean,R_mean,TB_asym_pct,LR_asym_pct,DPC_y_raw_mean,DPC_x_raw_mean,DPC_y_bal_std,DPC_x_bal_std,DPC_y_std_bg,DPC_y_std_cell,DPC_x_std_bg,DPC_x_std_cell,bg_fraction_y,bg_fraction_x
off_100mM1,21556.67994496528,20464.774134375,23550.945267361112,18790.669138194444,5.196896844781546,22.485095081977235,0.025965194055135265,0.11263206964364292,0.024317969969674294,0.02348208198998562,0.022340580557541657,0.029687754902413998,0.02121901181915922,0.026539602119535696,0.2997447916666667,0.2997447916666667
off_100mM2,21578.954982118055,20602.2303796875,23594.289219097223,18866.202288368055,4.631091298420299,22.270523787497325,0.023154353929844673,0.11155302139074871,0.02204789130050015,0.022114982133399966,0.023222290180727433,0.021704780217611894,0.02201197869132947,0.021550853275180894,0.29981302083333333,0.29981302083333333
off_100mM3,21702.983617013888,20525.432786631944,23516.24354392361,18980.835641145834,5.577054176629173,21.34456291937921,0.02788337662796932,0.10687076153028666,0.021225022779902018,0.023181393031204017,0.018024087913417017,0.025241458597157547,0.017111117137414887,0.02995367038500176,0.2997267361111111,0.2997267361111111
off_5mM1,22243.39224652778,21158.87012638889,22452.412175,21197.738970486113,4.997537274995317,5.748769118036079,0.024960483313842746,0.028832320410113833,0.026709992022962082,0.025802566202733496,0.026616156553412165,0.02759875478442578,0.025077971015472992,0.027372363299964557,0.29993854166666667,0.29993854166666667
off_5mM2,22153.418650347223,21194.153736458335,22356.971806944446,21238.497420833333,4.425922196191435,5.131149662673905,0.022093618877349605,0.025760790090793753,0.022940644869390105,0.021775398399888228,0.02128997412756609,0.025398822601429734,0.02001610971482392,0.024672952482008535,0.2999177083333333,0.2999177083333333
off_5mM3,21397.241900868055,20564.847952777778,24007.367474479168,18294.570725,3.9673617352876223,27.0096217461237,0.019817119802170154,0.13518729130900228,0.028058695814504465,0.028950968189560597,0.03188428242776333,0.028797739508279026,0.03110739337300677,0.031488872977047985,0.29976302083333334,0.29976302083333334
off_NO10_1,21525.638438368056,20457.5529265625,23599.783860069445,18648.884274305554,5.08815779401539,23.436949870311608,0.02542908113800511,0.11739562208020729,0.02284812123079374,0.023127542943634925,0.023282715987744486,0.023569184622030406,0.02294619489984073,0.023257963393651406,0.2997487847222222,0.2997487847222222
off_NO10_2,21424.376655555556,20304.586005034722,23549.064921180554,18438.457651215278,5.3669709435570905,24.343457088488382,0.026823848787331805,0.12191717695328838,0.020902230139381545,0.02210040576597329,0.019320732684066595,0.02295688848899009,0.018380587617602757,0.025325083747649295,0.29959861111111113,0.29959861111111113
off_serum1,21687.025894965278,20515.47779236111,23539.644097569446,18930.10032795139,5.552031278921437,21.707424106127174,0.027769294437575656,0.1087387350437018,0.02088670648831203,0.02133695354381672,0.020870276757042543,0.021730687831894357,0.020251498327933777,0.0218769749362763,0.29970590277777776,0.29970590277777776
off_serum2,21592.17500763889,20539.488919444444,23863.638081770834,18596.765098958334,4.997125629865052,24.808398358322194,0.024974257253986974,0.12420371024240497,0.023198478281715756,0.02295954904714162,0.023498683010205575,0.025256438061735484,0.022128074384877072,0.02521719028063104,0.29991111111111113,0.29991111111111113
off_serum3,21743.085928993056,20757.37628611111,23634.34933559028,19108.185566666667,4.638583165957363,21.17873345263206,0.023160949332388655,0.10594370238801017,0.03265876750916106,0.03252533072078384,0.03339944927654839,0.03322641048217479,0.033163572994678446,0.03366626298891142,0.2999144097222222,0.2999144097222222
on_100mM1,19559.482242881946,18739.924593055555,21640.732050520834,16951.004992708335,4.279740693306899,24.30430665797305,0.021381898644903672,0.12167061590850518,0.02370305205262688,0.02490844102075342,0.0210389320748001,0.029418875816209146,0.02078701519260759,0.03205621456174976,0.2997046875,0.2997046875
on_100mM2,20284.784173090276,18894.364561631945,22034.7201890625,17446.7170015625,7.097753046513148,23.241318016606726,0.03547364875514808,0.11629344208555699,0.02440834532196972,0.025388642320874278,0.02592297578152154,0.024256290166513587,0.026086358728878854,0.026549762037213175,0.29984791666666666,0.29984791666666666
on_100mM3,19532.89007829861,18698.89327378472,21549.573148784722,16959.899208506944,4.362845420175474,23.83659738411729,0.021776074141914858,0.11933270591891232,0.021935711511357533,0.023392392909981224,0.020928075051797456,0.023640029240660533,0.02064382538413711,0.027636184757436965,0.2998135416666667,0.2998135416666667
on_5mM1,20112.720593229165,19069.71832465278,20340.480048090278,19179.716118576387,5.32382514913019,5.874282225820214,0.026580334112259078,0.02946321624073118,0.026939258961115917,0.026426621945370713,0.026781783905953337,0.02752293304506899,0.025607541115376525,0.027814216166202114,0.29967916666666666,0.29967916666666666
on_5mM2,20393.327004166666,19105.152885590276,20396.07800954861,19387.196664930554,6.522651616830697,5.071886881475101,0.03256628780767571,0.02544153674910013,0.026865470908227548,0.025246794031662703,0.02504228777208592,0.030123321696733173,0.02251210329723972,0.028747502528615486,0.29965121527777777,0.29965121527777777
on_5mM3,19931.016868229166,19028.605415104168,22601.194020833333,16837.90811111111,4.632547238585748,29.22625312534252,0.023157420739965327,0.1462318533968474,0.026553335050046523,0.027648593055342084,0.028323483872585088,0.028735704383265545,0.028767939046541458,0.030731807669254697,0.2998894097222222,0.2998894097222222
on_NO10_1,19694.855980555556,18775.89015138889,21780.774462152778,16971.332260243056,4.777478586013688,24.821578018261505,0.023853558347505684,0.12420826651250512,0.02560551060741632,0.025925106833453903,0.026507828852294163,0.026484413453317337,0.026116850462599563,0.027901212745754255,0.2996901041666667,0.2996901041666667
on_NO10_2,19487.298930902776,18720.365451041667,21584.30713402778,16917.839492534724,4.01455306032019,24.240038804868473,0.020049461742093527,0.12071542147612456,0.026087122496919714,0.028921159396967912,0.02865203181038194,0.026052437137311157,0.03442318806239571,0.023542225659201832,0.299965625,0.299965625
on_serum1,19551.51120746528,19014.596202604167,21962.540073784723,16904.449961979168,2.784387852018094,26.027691401630527,0.013866116440318939,0.13022120451570132,0.02507271434059024,0.024169368144096155,0.025206505280934332,0.026268846791840102,0.022608746643553605,0.02675805272282167,0.29989184027777777,0.29989184027777777
on_serum2,19587.502989930555,18816.50990607639,21826.17065190972,16871.68747326389,4.015169383167923,25.605981409202883,0.020050696879300427,0.12804211347449831,0.02465671733172643,0.02526377510339403,0.02372650617745638,0.027862927555942725,0.024852188246632954,0.028179745374134826,0.2997652777777778,0.2997652777777778
on_serum3,19907.441863020835,19201.528792708334,22912.790200868054,16576.3285484375,3.609980311302774,32.09219072553745,0.018007231608383363,0.16054214947995854,0.030917069661620895,0.030838412476811763,0.03238193244803208,0.031298798732810926,0.03172105566540633,0.032223668138865624,0.29977256944444447,0.29977256944444447
